time,open,high,low,close,tick_volume,spread,real_volume
1740856920,85296.73,85306.84,85272.41,85292.65,288,140,0
1740856980,85292.76,85331.0,85292.59,85303.88,317,140,0
1740857040,85303.34,85332.6,85300.23,85315.06,356,140,0
1740857100,85318.88,85321.03,85245.48,85297.96,344,140,0
1740857160,85295.88,85319.48,85267.45,85305.85,347,140,0
1740857220,85305.66,85377.65,85305.66,85368.28,328,140,0
1740857280,85368.3,85398.96,85355.24,85392.7,288,140,0
1740857340,85392.27,85392.27,85356.16,85361.22,356,140,0
1740857400,85361.13,85497.09,85332.38,85468.85,344,140,0
1740857460,85468.85,85468.85,85393.46,85432.63,372,140,0
1740857520,85432.88,85636.3,85420.25,85533.66,398,140,0
1740857580,85533.43,85554.17,85429.83,85434.19,382,140,0
1740857640,85433.22,85486.77,85380.15,85432.73,355,140,0
1740857700,85431.75,85452.2,85393.65,85408.54,311,140,0
1740857760,85404.99,85421.89,85343.32,85380.44,328,140,0
1740857820,85379.69,85394.91,85295.03,85320.54,281,140,0
1740857880,85326.6,85338.23,85284.51,85288.0,358,140,0
1740857940,85288.13,85290.15,85223.16,85287.87,355,140,0
1740858000,85288.4,85291.67,85259.5,85290.92,331,140,0
1740858060,85290.89,85318.77,85257.14,85305.07,345,140,0
1740858120,85306.33,85369.38,85292.57,85361.85,358,140,0
1740858180,85362.07,85401.75,85360.83,85401.74,281,140,0
1740858240,85401.75,85418.52,85377.35,85379.36,317,140,0
1740858300,85379.37,85428.98,85379.27,85420.05,318,140,0
1740858360,85420.05,85439.28,85401.45,85411.83,306,140,0
1740858420,85411.34,85513.93,85393.27,85454.79,270,140,0
1740858480,85455.47,85486.12,85438.45,85486.12,283,140,0
1740858540,85486.12,85486.12,85420.85,85445.33,266,140,0
1740858600,85445.33,85448.48,85368.9,85382.55,340,140,0
1740858660,85382.51,85421.61,85366.32,85391.44,305,140,0
1740858720,85391.44,85447.75,85391.44,85431.26,311,140,0
1740858780,85429.81,85491.48,85421.63,85480.55,332,140,0
1740858840,85480.55,85553.87,85473.05,85504.95,299,140,0
1740858900,85505.17,85511.17,85460.52,85480.17,323,140,0
1740858960,85481.47,85499.16,85447.24,85469.86,375,140,0
1740859020,85469.83,85509.48,85456.59,85491.95,332,140,0
1740859080,85492.53,85530.46,85492.53,85524.73,321,140,0
1740859140,85524.73,85525.32,85500.64,85508.67,296,140,0
1740859200,85508.85,85533.58,85450.72,85470.2,367,140,0
1740859260,85470.37,85477.57,85432.34,85446.55,349,140,0
1740859320,85446.76,85475.93,85427.65,85470.23,368,140,0
1740859380,85475.42,85486.29,85427.09,85427.72,394,140,0
1740859440,85428.8,85464.34,85418.54,85449.57,352,140,0
1740859500,85449.21,85490.84,85448.79,85472.28,323,140,0
1740859560,85472.29,85472.29,85433.34,85459.1,372,140,0
1740859620,85455.58,85459.78,85428.39,85450.97,342,140,0
1740859680,85450.92,85458.77,85414.24,85426.67,383,140,0
1740859740,85427.45,85455.19,85403.5,85447.73,381,140,0
1740859800,85446.89,85510.76,85436.18,85499.89,367,140,0
1740859860,85499.42,85524.27,85468.35,85517.21,309,140,0
1740859920,85517.21,85558.12,85482.4,85490.87,321,140,0
1740859980,85490.83,85512.02,85436.3,85452.57,371,140,0
1740860040,85452.82,85475.73,85428.93,85471.84,396,140,0
1740860100,85472.42,85499.64,85373.41,85488.84,343,140,0
1740860160,85491.2,85538.19,85454.38,85535.82,296,140,0
1740860220,85535.86,85610.65,85511.22,85575.55,293,140,0
1740860280,85575.55,85588.44,85551.44,85576.14,340,140,0
1740860340,85575.88,85581.09,85524.55,85576.42,298,140,0
1740860400,85576.04,85602.61,85552.45,85564.34,318,140,0
1740860460,85564.3,85609.66,85558.68,85604.52,341,140,0
1740860520,85604.03,85655.51,85582.79,85621.58,270,140,0
1740860580,85621.67,85626.28,85550.62,85556.56,343,140,0
1740860640,85556.56,85565.82,85517.99,85533.81,349,140,0
1740860700,85533.67,85556.71,85517.0,85530.87,324,140,0
1740860760,85530.95,85558.23,85523.88,85548.8,334,140,0
1740860820,85548.8,85558.78,85522.0,85535.98,346,140,0
1740860880,85537.19,85554.03,85475.09,85506.01,304,140,0
1740860940,85505.48,85558.41,85500.8,85546.06,325,140,0
1740861000,85547.08,85572.4,85513.33,85529.71,358,140,0
1740861060,85529.72,85552.44,85511.27,85535.58,350,140,0
1740861120,85535.39,85539.7,85504.96,85519.88,349,140,0
1740861180,85519.5,85564.57,85507.08,85548.78,349,140,0
1740861240,85548.09,85589.42,85546.41,85577.7,308,140,0
1740861300,85577.97,85599.88,85553.77,85586.53,303,140,0
1740861360,85586.6,85610.88,85579.45,85584.44,341,140,0
1740861420,85585.52,85594.21,85564.15,85573.49,327,140,0
1740861480,85573.35,85573.8,85540.95,85552.97,341,140,0
1740861540,85553.6,85582.9,85539.78,85575.81,334,140,0
1740861600,85575.89,85589.0,85548.98,85587.14,318,140,0
1740861660,85585.87,85585.87,85554.49,85574.86,339,140,0
1740861720,85575.39,85580.55,85542.86,85549.72,321,140,0
1740861780,85550.93,85577.68,85550.61,85563.27,324,140,0
1740861840,85563.24,85571.49,85547.77,85567.25,361,140,0
1740861900,85567.4,85601.62,85553.35,85584.42,343,140,0
1740861960,85584.42,85588.08,85548.76,85571.59,388,140,0
1740862020,85571.6,85595.52,85556.77,85585.46,299,140,0
1740862080,85585.46,85626.64,85580.78,85594.03,316,140,0
1740862140,85595.21,85605.42,85541.97,85560.53,351,140,0
1740862200,85560.29,85566.91,85515.87,85526.81,336,140,0
1740862260,85526.81,85553.4,85518.86,85553.33,300,140,0
1740862320,85553.14,85583.21,85543.6,85581.79,364,140,0
1740862380,85582.3,85621.28,85576.56,85612.94,318,140,0
1740862440,85612.97,85643.11,85590.19,85596.29,338,140,0
1740862500,85596.12,85609.06,85591.95,85592.95,346,140,0
1740862560,85592.95,85625.12,85592.95,85612.27,342,140,0
1740862620,85612.26,85624.12,85547.27,85554.63,360,140,0
1740862680,85554.77,85569.71,85536.54,85540.24,333,140,0
1740862740,85540.2,85587.2,85540.2,85585.09,301,140,0
1740862800,85585.21,85629.9,85580.82,85626.88,335,140,0
1740862860,85626.19,85627.18,85561.03,85566.59,385,140,0
1740862920,85566.33,85566.49,85500.34,85533.3,302,140,0
1740862980,85533.3,85555.18,85513.12,85523.89,340,140,0
1740863040,85525.09,85566.05,85518.72,85538.36,318,140,0
1740863100,85538.98,85553.66,85518.29,85547.32,332,140,0
1740863160,85547.54,85595.96,85533.41,85588.05,335,140,0
1740863220,85587.78,85610.15,85519.08,85519.08,368,140,0
1740863280,85520.87,85522.13,85467.75,85481.56,389,140,0
1740863340,85481.87,85519.0,85472.22,85515.56,371,140,0
1740863400,85515.43,85516.76,85443.64,85465.03,409,140,0
1740863460,85466.18,85479.11,85437.52,85450.62,405,140,0
1740863520,85450.94,85476.23,85404.47,85440.49,413,140,0
1740863580,85440.65,85440.82,85387.38,85420.8,353,140,0
1740863640,85423.25,85426.48,85388.41,85405.25,326,140,0
1740863700,85404.67,85425.6,85399.11,85401.98,362,140,0
1740863760,85402.62,85426.3,85376.59,85380.52,360,140,0
1740863820,85383.99,85421.2,85318.23,85397.9,423,140,0
1740863880,85397.1,85496.08,85397.1,85448.53,305,140,0
1740863940,85448.37,85510.89,85448.37,85489.62,340,140,0
1740864000,85489.63,85523.85,85489.63,85505.62,352,140,0
1740864060,85506.05,85506.05,85425.47,85458.73,337,140,0
1740864120,85458.39,85475.2,85430.88,85461.58,303,140,0
1740864180,85460.98,85516.15,85451.95,85493.93,311,140,0
1740864240,85494.2,85522.37,85491.86,85513.34,337,140,0
1740864300,85513.59,85568.71,85510.3,85520.53,330,140,0
1740864360,85520.53,85548.86,85496.43,85543.0,259,140,0
1740864420,85543.44,85600.91,85542.66,85591.8,274,140,0
1740864480,85582.28,85602.66,85553.77,85568.79,305,140,0
1740864540,85568.79,85606.78,85566.77,85598.48,319,140,0
1740864600,85598.57,85639.49,85574.43,85627.24,325,140,0
1740864660,85627.05,85718.62,85598.24,85635.17,380,140,0
1740864720,85633.63,85651.35,85605.93,85634.7,329,140,0
1740864780,85634.5,85658.64,85612.78,85633.55,354,140,0
1740864840,85633.21,85676.72,85633.21,85665.75,279,140,0
1740864900,85666.17,85767.22,85666.17,85730.73,391,140,0
1740864960,85729.57,85808.18,85702.68,85723.48,388,140,0
1740865020,85723.48,85741.85,85687.83,85688.13,356,140,0
1740865080,85689.72,85695.49,85656.62,85659.98,395,140,0
1740865140,85659.25,85675.39,85621.8,85633.97,389,140,0
1740865200,85633.89,85680.91,85608.67,85650.73,378,140,0
1740865260,85650.12,85717.13,85647.29,85705.38,342,140,0
1740865320,85705.74,85705.74,85652.3,85661.17,325,140,0
1740865380,85657.04,85673.48,85645.69,85648.84,380,140,0
1740865440,85649.12,85658.06,85622.04,85658.06,346,140,0
1740865500,85657.99,85687.95,85646.38,85667.93,350,140,0
1740865560,85667.93,85751.83,85667.09,85717.9,362,140,0
1740865620,85717.11,85764.29,85716.13,85751.86,354,140,0
1740865680,85751.89,85827.94,85726.54,85818.49,345,140,0
1740865740,85819.73,85819.73,85773.32,85797.66,291,140,0
1740865800,85797.69,85806.82,85742.8,85750.41,421,140,0
1740865860,85749.99,85799.0,85749.37,85786.02,412,140,0
1740865920,85786.02,85909.88,85786.02,85881.27,373,140,0
1740865980,85878.27,85905.11,85841.96,85894.74,380,140,0
1740866040,85894.91,85904.29,85859.26,85883.02,406,140,0
1740866100,85882.93,85898.81,85865.29,85888.89,366,140,0
1740866160,85889.3,85929.23,85858.78,85912.48,341,140,0
1740866220,85913.26,86220.22,85894.1,86162.87,400,140,0
1740866280,86164.54,86173.18,86080.23,86080.24,342,140,0
1740866340,86081.86,86157.91,86033.47,86121.51,374,140,0
1740866400,86120.61,86132.23,85999.65,86016.24,380,140,0
1740866460,86016.64,86019.03,85935.89,85958.05,359,140,0
